Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Program,Trash Collection Type,Trash Collection Method,Trash Disposal Tonnage,Bulky Waste,School Waste,Municipal Building Waste,Commercial Waste,Other Waste,Recycling Collection Type,Recycling Collection Method,Recycling - Dual or Single Stream,Recycling Tonnage
Wendell,Jan Ameen,396,308,Drop off,,156,,,,,,Drop off,,Dual stream,80
Wenham,Jeff A. Chelgren,1340,1170,Curbside,Automated,1034,Y,,Y,,,Curbside,Automated,Dual stream,469
West Boylston,John K. Westerling,2376,2376,Curbside,,1640,,,,,,Curbside,,Dual stream,599
WEST BRIDGEWATER,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
WEST BROOKFIELD,--- Did Not Report ---,,0,Subscription,,0,,,,,,Subscription,,,0
West Newbury,Jane Krafton,1485,1473,Curbside,,1703,Y,,Y,Y,,Curbside,,Single stream,393
West Springfield,Michael Pattavina,13600,8560,Curbside,,7930,,Y,Y,Y,,Curbside,,Dual stream,1500
WEST STOCKBRIDGE,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
WEST TISBURY,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
WESTBOROUGH,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Westfield,Barry Searle,13350,11725,Curbside,Semi-automated,13880,,Y,Y,,,Curbside,,Dual stream,2390
Westford,Kris Erickson,7170,7125,Curbside,Semi-automated,8339,Y,Y,Y,,,Curbside,Semi-automated,Single stream,2536
Westhampton,Eric Weiss,600,600,Drop off,,338,Y,,Y,Y,,Drop off,,Dual stream,220
WESTMINSTER,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Curbside,,,0
Weston,Robert L. Hoffman,3350,1750,Drop off,,2139,Y,,Y,,,Drop off,,Dual stream,981
Westport,"James J. Walsh, Jr",6374,2500,Drop off,,1207,Y,,Y,Y,,Drop off,,,597
WESTWOOD,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Weymouth,Robert O'connor,18750,17870,Curbside,,20828,Y,Y,Y,,,Curbside,,Single stream,3065
Whately,Jan Ameen,646,581,Drop off,,158,,,,,,Drop off,,Dual stream,120
Whitman,Paula Anderson,5133,4714,Curbside,,4951,Y,,Y,,,Curbside,,Dual stream,816
WILBRAHAM,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Williamsburg,Eric Weiss,1000,1000,Drop off,,571,Y,,Y,Y,,Drop off,,Dual stream,430
Williamstown,Scott Park,2753,1046,Drop off,,637,Y,,Y,,C&D,Drop off,,Dual stream,462
WILMINGTON,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
WINCHENDON,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Winchester,Norman Doucette,7236,5002,Drop off,,9462,Y,Y,Y,Y,C&D,Drop off,,Dual stream,1469
Windsor,Robert Bradley,328,321,Drop off,,199,Y,,Y,,,Drop off,,Dual stream,77
WINTHROP,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
WOBURN,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Worcester,Robert J. Fiore,67000,52000,Curbside,,21571,,,Y,,,Curbside,,Single stream,8704
Worthington,Eric Weiss,500,500,Drop-off,,271,Y,,Y,Y,,Drop-off,,Dual stream,248
Wrentham,Irving Priest,3895,3741,Curbside,,2789,Y,Y,Y,,,Curbside,,Dual stream,1326
Yarmouth,Robert B. Angell,15453,8780,Drop off,,8748,,,,,,Drop off,,Dual stream,1491
,,,,,,,,,,,,,,,
